DateTimeUTC,temp_01ft,temp_05ft,temp_10ft,temp_40ft,temp_70ft
"2025-12-22 07:15:00","56.62397","55.44418","55.51286","55.26408","53.8935"
"2025-12-22 07:15:00","368.3959494"
"2025-12-22 07:30:00","56.59345","55.42281","55.50064","55.24424","53.89045"
"2025-12-22 07:30:00","368.3943125"
"2025-12-22 07:45:00","56.52629","55.39076","55.50064","55.2244","53.89503"
"2025-12-22 07:45:00","368.4117716"
"2025-12-22 08:00:00","56.65297","55.44112","55.47318","55.24118","53.8874"
"2025-12-22 08:00:00","1356095.86018389"
"2025-12-22 08:00:00","368.3959494"
"2025-12-22 08:15:00","56.62244","55.43197","55.50675","55.2305","53.90419"
"2025-12-22 08:15:00","368.3992227"
"2025-12-22 08:30:00","56.61176","55.45333","55.49149","55.2305","53.89503"
"2025-12-22 08:30:00","368.4006775"
"2025-12-22 08:45:00","56.5965","55.44876","55.51438","55.22135","53.9225"
"2025-12-22 08:45:00","368.4010411"
"2025-12-22 09:00:00","56.6316","55.43349","55.50675","55.21677","53.94539"
"2025-12-22 09:00:00","368.3984955"
"2025-12-22 09:15:00","56.59192","55.40907","55.50523","55.25035","53.90876"
"2025-12-22 09:15:00","368.3975858"
"2025-12-22 09:30:00","56.5965","55.4396","55.51133","55.24424","53.90419"
"2025-12-22 09:30:00","368.3988591"
"2025-12-22 09:45:00","56.59803","55.45639","55.52812","55.22898","53.93013"
"2025-12-22 09:45:00","368.4081343"
"2025-12-22 10:00:00","56.57666","55.42433","55.47012","55.23203","53.9225"
"2025-12-22 10:00:00","368.3977678"
"2025-12-22 10:15:00","56.6255","55.42587","55.50064","55.21677","53.94539"
"2025-12-22 10:15:00","368.4055876"
"2025-12-22 10:30:00","56.60413","55.45944","55.5266","55.1954","53.93624"
"2025-12-22 10:30:00","368.4043149"
"2025-12-22 10:45:00","56.59497","55.46249","55.51897","55.24576","53.92097"
"2025-12-22 10:45:00","368.4041333"
"2025-12-22 11:00:00","56.62244","55.43807","55.5037","55.23661","53.93166"
"2025-12-22 11:00:00","368.4052241"
"2025-12-22 11:15:00","56.60566","55.44876","55.48386","55.1954","53.93166"
"2025-12-22 11:15:00","368.4041333"
"2025-12-22 11:30:00","56.60566","55.45028","55.54186","55.21066","53.93319"
"2025-12-22 11:30:00","368.4026785"
"2025-12-22 11:45:00","56.60871","55.42892","55.52354","55.22135","53.9576"
"2025-12-22 11:45:00","368.4050425"
"2025-12-22 12:00:00","56.63313","55.43349","55.49759","55.16182","53.86603"
"2025-12-22 12:00:00","368.3854009"
"2025-12-22 12:15:00","56.6026","55.47012","55.51897","55.19693","53.94081"
"2025-12-22 12:15:00","368.3997683"
"2025-12-22 12:30:00","56.62702","55.4396","55.50523","55.16793","53.94692"
"2025-12-22 12:30:00","368.4039513"
"2025-12-22 12:45:00","56.56597","55.42281","55.47318","55.19388","53.93624"
"2025-12-22 12:45:00","368.4003139"
"2025-12-22 13:00:00","56.64228","55.46402","55.5037","55.16945","53.93013"
"2025-12-22 13:00:00","368.4121352"
"2025-12-22 13:15:00","56.62092","55.45486","55.50675","55.19693","53.95608"
"2025-12-22 13:15:00","368.4154084"
"2025-12-22 13:30:00","56.62702","55.43807","55.50217","55.18014","53.93013"
"2025-12-22 13:30:00","368.3995868"
"2025-12-22 13:45:00","56.47287","55.4686","55.47776","54.93288","53.98203"
"2025-12-22 13:45:00","368.4050425"
"2025-12-22 14:00:00","56.61329","55.44265","55.5327","54.92219","53.96371"
"2025-12-22 14:00:00","368.3997683"
"2025-12-22 14:15:00","56.59803","55.43807","55.49912","54.87183","53.94844"
"2025-12-22 14:15:00","368.4039513"
"2025-12-22 14:30:00","56.5904","55.44876","55.50523","54.78636","53.94692"
"2025-12-22 14:30:00","368.3983129"
"2025-12-22 14:45:00","56.58123","55.44723","55.47776","54.533","53.9805"
"2025-12-22 14:45:00","368.3950402"
"2025-12-22 15:00:00","56.61176","55.40144","55.47776","54.60932","53.97134"
"2025-12-22 15:00:00","368.3979493"
"2025-12-22 15:15:00","56.62092","55.44112","55.48844","54.51469","53.96523"
"2025-12-22 15:15:00","368.4046784"
"2025-12-22 15:30:00","56.5965","55.41365","55.51438","54.48569","53.9866"
"2025-12-22 15:30:00","368.4063153"
"2025-12-22 15:45:00","56.62855","55.41212","55.52048","54.44143","54.0095"
"2025-12-22 15:45:00","368.3854009"
"2025-12-22 16:00:00","56.57818","55.43349","55.50217","54.44296","53.97592"
"2025-12-22 16:00:00","368.3888562"
"2025-12-22 16:15:00","56.60566","55.46249","55.50523","54.47805","53.97745"
"2025-12-22 16:15:00","368.4083158"
"2025-12-22 16:30:00","56.64381","55.42892","55.5037","54.47959","54.0034"
"2025-12-22 16:30:00","368.3997683"
"2025-12-22 16:45:00","56.6255","55.43502","55.50675","54.45974","54.02476"
"2025-12-22 16:45:00","368.4054061"
"2025-12-22 17:00:00","56.5965","55.34345","55.52202","54.48722","54.0095"
"2025-12-22 17:00:00","368.4137715"
"2025-12-22 17:15:00","56.62855","55.43349","55.47318","54.47959","54.00491"
"2025-12-22 17:15:00","368.4081343"
"2025-12-22 17:30:00","56.61329","55.45181","55.51743","54.52232","54.02018"
"2025-12-22 17:30:00","368.4103162"
"2025-12-22 17:45:00","56.61634","55.42892","55.5266","54.47042","54.04155"
"2025-12-22 17:45:00","368.4023144"
"2025-12-22 18:00:00","56.6377","55.42433","55.52507","54.45517","54.05376"
"2025-12-22 18:00:00","368.4046784"
"2025-12-22 18:15:00","56.62397","55.31902","55.51438","54.58184","54.07207"
"2025-12-22 18:15:00","368.4086799"
"2025-12-22 18:30:00","56.62397","55.43044","55.50064","54.562","54.05681"
"2025-12-22 18:30:00","368.4077707"
"2025-12-22 18:45:00","56.62702","55.45486","55.49149","54.51774","54.09801"
"2025-12-22 18:45:00","368.3957674"
"2025-12-22 19:00:00","56.64839","55.44265","55.54491","54.61084","54.14686"
"2025-12-22 19:00:00","368.4032241"
"2025-12-22 19:15:00","56.70333","55.48996","55.52812","54.57421","54.17739"
"2025-12-22 19:15:00","368.4037692"
"2025-12-22 19:30:00","56.72623","55.52048","55.52354","54.63374","54.18044"
"2025-12-22 19:30:00","368.3801272"
"2025-12-22 19:45:00","56.73539","55.4686","55.53117","54.64442","54.21097"
"2025-12-22 19:45:00","368.3908572"
"2025-12-22 20:00:00","56.71402","55.44571","55.5266","54.62458","54.2186"
"2025-12-22 20:00:00","368.4043149"
"2025-12-22 20:15:00","56.65602","55.47928","55.50675","54.65816","54.2476"
"2025-12-22 20:15:00","368.4055876"
"2025-12-22 20:30:00","56.77812","55.4747","55.54338","54.73447","54.27201"
"2025-12-22 20:30:00","368.411589"
"2025-12-22 20:45:00","56.72013","55.49149","55.5388","54.6902","54.30407"
"2025-12-22 20:45:00","368.4112255"
"2025-12-22 21:00:00","56.78117","55.4747","55.55407","54.75431","54.17587"
"2025-12-22 21:00:00","368.4063153"
